dataElement,period,orgUnit,categoryOptionCombo,attributeOptionCombo,value
afMU582wyjr,202405,DAzDgWYcR87,d6H2uRuFu1t,,2
afMU582wyjr,202405,DAzDgWYcR87,Bkx1ls085wh,,3
afMU582wyjr,202405,DAzDgWYcR87,c6giVLetbtS,,1
afMU582wyjr,202405,DAzDgWYcR87,DZdOUyhJ7jY,,1
afMU582wyjr,202405,DAzDgWYcR87,l3prxMDlmR2,,2
afMU582wyjr,202405,DAzDgWYcR87,VnG1bujYXFO,,2
afMU582wyjr,202405,DAzDgWYcR87,nAmNxGivtZp,,1
p7EP9qMVwqg,202405,DAzDgWYcR87,d6H2uRuFu1t,,16
p7EP9qMVwqg,202405,DAzDgWYcR87,Bkx1ls085wh,,13
p7EP9qMVwqg,202405,DAzDgWYcR87,c6giVLetbtS,,9
p7EP9qMVwqg,202405,DAzDgWYcR87,q6626ce9TuF,,1
p7EP9qMVwqg,202405,DAzDgWYcR87,DZdOUyhJ7jY,,1
p7EP9qMVwqg,202405,DAzDgWYcR87,l3prxMDlmR2,,3
p7EP9qMVwqg,202405,DAzDgWYcR87,VnG1bujYXFO,,9
p7EP9qMVwqg,202405,DAzDgWYcR87,q05S3F3dR5x,,3
p7EP9qMVwqg,202405,DAzDgWYcR87,KXYtnasHRY1,,1
p7EP9qMVwqg,202405,DAzDgWYcR87,nAmNxGivtZp,,4
p7EP9qMVwqg,202405,DAzDgWYcR87,z1BDHlCs6ZQ,,1
p7EP9qMVwqg,202405,DAzDgWYcR87,KEYtOYaTX8f,,1
p7EP9qMVwqg,202405,DAzDgWYcR87,Oi2gHeBaXlg,,1
p7EP9qMVwqg,202405,DAzDgWYcR87,ggKrFA13JV4,,1
p7EP9qMVwqg,202405,DAzDgWYcR87,BkPc3fi0d9y,,1
p7EP9qMVwqg,202405,DAzDgWYcR87,urBNBOj7wJ6,,1
xS1Lke6V3Mi,202405,DAzDgWYcR87,gEJ6qioKAKT,,3
xS1Lke6V3Mi,202405,DAzDgWYcR87,qLX4sVePBgY,,1
xS1Lke6V3Mi,202405,DAzDgWYcR87,kwtmCrGyQXV,,3
xS1Lke6V3Mi,202405,DAzDgWYcR87,h1WIloP9kCN,,1
xS1Lke6V3Mi,202405,DAzDgWYcR87,tYUgvzb1vme,,1
xS1Lke6V3Mi,202405,DAzDgWYcR87,rHGpmF6nIpk,,1
afMU582wyjr,202405,K4Rp81pn9ke,urBNBOj7wJ6,,3
afMU582wyjr,202405,K4Rp81pn9ke,d6H2uRuFu1t,,6
afMU582wyjr,202405,K4Rp81pn9ke,Bkx1ls085wh,,2
afMU582wyjr,202405,K4Rp81pn9ke,q05S3F3dR5x,,1
afMU582wyjr,202405,K4Rp81pn9ke,VnG1bujYXFO,,1
afMU582wyjr,202405,K4Rp81pn9ke,nAmNxGivtZp,,1
afMU582wyjr,202405,K4Rp81pn9ke,c6giVLetbtS,,1
afMU582wyjr,202405,K4Rp81pn9ke,Dt1XF1qdQEj,,1
afMU582wyjr,202405,K4Rp81pn9ke,BkPc3fi0d9y,,1
afMU582wyjr,202405,K4Rp81pn9ke,z1BDHlCs6ZQ,,1
afMU582wyjr,202405,K4Rp81pn9ke,ggKrFA13JV4,,5
afMU582wyjr,202405,K4Rp81pn9ke,DZdOUyhJ7jY,,3
afMU582wyjr,202405,K4Rp81pn9ke,FWUa85QQgwr,,1
p7EP9qMVwqg,202405,K4Rp81pn9ke,urBNBOj7wJ6,,7
p7EP9qMVwqg,202405,K4Rp81pn9ke,d6H2uRuFu1t,,18
p7EP9qMVwqg,202405,K4Rp81pn9ke,nAmNxGivtZp,,12
p7EP9qMVwqg,202405,K4Rp81pn9ke,DZdOUyhJ7jY,,11
p7EP9qMVwqg,202405,K4Rp81pn9ke,Oi2gHeBaXlg,,14
p7EP9qMVwqg,202405,K4Rp81pn9ke,Bkx1ls085wh,,13
p7EP9qMVwqg,202405,K4Rp81pn9ke,KEYtOYaTX8f,,5
p7EP9qMVwqg,202405,K4Rp81pn9ke,z1BDHlCs6ZQ,,6
p7EP9qMVwqg,202405,K4Rp81pn9ke,zZ9qcv1TDrd,,3
p7EP9qMVwqg,202405,K4Rp81pn9ke,l3prxMDlmR2,,2
p7EP9qMVwqg,202405,K4Rp81pn9ke,Ex9UGjgH5kz,,1
p7EP9qMVwqg,202405,K4Rp81pn9ke,LNnXcqLQysq,,3
p7EP9qMVwqg,202405,K4Rp81pn9ke,VnG1bujYXFO,,12
p7EP9qMVwqg,202405,K4Rp81pn9ke,q05S3F3dR5x,,4
p7EP9qMVwqg,202405,K4Rp81pn9ke,TQ1rNJaFOXG,,3
p7EP9qMVwqg,202405,K4Rp81pn9ke,FWUa85QQgwr,,2
p7EP9qMVwqg,202405,K4Rp81pn9ke,ggKrFA13JV4,,9
p7EP9qMVwqg,202405,K4Rp81pn9ke,bcE84lWmc6J,,5
p7EP9qMVwqg,202405,K4Rp81pn9ke,q6626ce9TuF,,11
p7EP9qMVwqg,202405,K4Rp81pn9ke,c6giVLetbtS,,4
p7EP9qMVwqg,202405,K4Rp81pn9ke,Dt1XF1qdQEj,,2
p7EP9qMVwqg,202405,K4Rp81pn9ke,BkPc3fi0d9y,,5
p7EP9qMVwqg,202405,K4Rp81pn9ke,ZKxOEssIh8z,,2
p7EP9qMVwqg,202405,K4Rp81pn9ke,zUinpc7wvRx,,1
p7EP9qMVwqg,202405,K4Rp81pn9ke,KXYtnasHRY1,,1
xS1Lke6V3Mi,202405,K4Rp81pn9ke,rHGpmF6nIpk,,1
afMU582wyjr,202405,KBwIeXdNrEP,KEYtOYaTX8f,,3
afMU582wyjr,202405,KBwIeXdNrEP,c6giVLetbtS,,6
afMU582wyjr,202405,KBwIeXdNrEP,Bkx1ls085wh,,4
afMU582wyjr,202405,KBwIeXdNrEP,d6H2uRuFu1t,,5
afMU582wyjr,202405,KBwIeXdNrEP,l3prxMDlmR2,,4
afMU582wyjr,202405,KBwIeXdNrEP,ggKrFA13JV4,,2
afMU582wyjr,202405,KBwIeXdNrEP,Oi2gHeBaXlg,,3
afMU582wyjr,202405,KBwIeXdNrEP,urBNBOj7wJ6,,2
afMU582wyjr,202405,KBwIeXdNrEP,z1BDHlCs6ZQ,,1
afMU582wyjr,202405,KBwIeXdNrEP,VnG1bujYXFO,,2
afMU582wyjr,202405,KBwIeXdNrEP,Ex9UGjgH5kz,,1
afMU582wyjr,202405,KBwIeXdNrEP,DZdOUyhJ7jY,,1
afMU582wyjr,202405,KBwIeXdNrEP,nAmNxGivtZp,,5
afMU582wyjr,202405,KBwIeXdNrEP,KXYtnasHRY1,,2
afMU582wyjr,202405,KBwIeXdNrEP,LNnXcqLQysq,,2
afMU582wyjr,202405,KBwIeXdNrEP,BkPc3fi0d9y,,1
p7EP9qMVwqg,202405,KBwIeXdNrEP,KEYtOYaTX8f,,18
p7EP9qMVwqg,202405,KBwIeXdNrEP,c6giVLetbtS,,24
p7EP9qMVwqg,202405,KBwIeXdNrEP,nAmNxGivtZp,,38
p7EP9qMVwqg,202405,KBwIeXdNrEP,Bkx1ls085wh,,59
p7EP9qMVwqg,202405,KBwIeXdNrEP,zZ9qcv1TDrd,,2
p7EP9qMVwqg,202405,KBwIeXdNrEP,ggKrFA13JV4,,13
p7EP9qMVwqg,202405,KBwIeXdNrEP,d6H2uRuFu1t,,49
p7EP9qMVwqg,202405,KBwIeXdNrEP,urBNBOj7wJ6,,13
p7EP9qMVwqg,202405,KBwIeXdNrEP,LNnXcqLQysq,,11
p7EP9qMVwqg,202405,KBwIeXdNrEP,VnG1bujYXFO,,21
p7EP9qMVwqg,202405,KBwIeXdNrEP,YE2FhUwTqmw,,2
p7EP9qMVwqg,202405,KBwIeXdNrEP,FWUa85QQgwr,,4
p7EP9qMVwqg,202405,KBwIeXdNrEP,l3prxMDlmR2,,11
p7EP9qMVwqg,202405,KBwIeXdNrEP,z1BDHlCs6ZQ,,4
p7EP9qMVwqg,202405,KBwIeXdNrEP,q05S3F3dR5x,,4
p7EP9qMVwqg,202405,KBwIeXdNrEP,Oi2gHeBaXlg,,11
p7EP9qMVwqg,202405,KBwIeXdNrEP,BkPc3fi0d9y,,7
p7EP9qMVwqg,202405,KBwIeXdNrEP,Dt1XF1qdQEj,,1
p7EP9qMVwqg,202405,KBwIeXdNrEP,Ex9UGjgH5kz,,6
p7EP9qMVwqg,202405,KBwIeXdNrEP,bcE84lWmc6J,,5
p7EP9qMVwqg,202405,KBwIeXdNrEP,KXYtnasHRY1,,6
p7EP9qMVwqg,202405,KBwIeXdNrEP,DZdOUyhJ7jY,,5
p7EP9qMVwqg,202405,KBwIeXdNrEP,DnVRKKNTMBf,,2
p7EP9qMVwqg,202405,KBwIeXdNrEP,q6626ce9TuF,,6
p7EP9qMVwqg,202405,KBwIeXdNrEP,yJV2FqniWS4,,1
p7EP9qMVwqg,202405,KBwIeXdNrEP,TQ1rNJaFOXG,,1
xS1Lke6V3Mi,202405,KBwIeXdNrEP,TRrp9joSTDX,,1
xS1Lke6V3Mi,202405,KBwIeXdNrEP,FDKJX1wHd69,,2
xS1Lke6V3Mi,202405,KBwIeXdNrEP,XEpB6AWLFsL,,1
xS1Lke6V3Mi,202405,KBwIeXdNrEP,rvysI7BkacY,,3
xS1Lke6V3Mi,202405,KBwIeXdNrEP,tYUgvzb1vme,,6
xS1Lke6V3Mi,202405,KBwIeXdNrEP,Ef4KxbjGxbT,,3
xS1Lke6V3Mi,202405,KBwIeXdNrEP,gEJ6qioKAKT,,3
xS1Lke6V3Mi,202405,KBwIeXdNrEP,XHv6fAXRNlR,,1
xS1Lke6V3Mi,202405,KBwIeXdNrEP,JQvmQoGt2fF,,2
xS1Lke6V3Mi,202405,KBwIeXdNrEP,mj84eKQr31q,,1
xS1Lke6V3Mi,202405,KBwIeXdNrEP,qLX4sVePBgY,,1
xS1Lke6V3Mi,202405,KBwIeXdNrEP,kwtmCrGyQXV,,3
xS1Lke6V3Mi,202405,KBwIeXdNrEP,WCiei0IYHel,,1
xS1Lke6V3Mi,202405,KBwIeXdNrEP,rHGpmF6nIpk,,2
xS1Lke6V3Mi,202405,KBwIeXdNrEP,XVVWpHSO2oX,,1
xS1Lke6V3Mi,202405,KBwIeXdNrEP,KZA7xMtgxmj,,1
xS1Lke6V3Mi,202405,KBwIeXdNrEP,PdeTFVVv6CJ,,1
xS1Lke6V3Mi,202405,KBwIeXdNrEP,h1WIloP9kCN,,1
afMU582wyjr,202405,KYB11OcHLUo,bcE84lWmc6J,,1
afMU582wyjr,202405,KYB11OcHLUo,Bkx1ls085wh,,4
afMU582wyjr,202405,KYB11OcHLUo,nAmNxGivtZp,,4
afMU582wyjr,202405,KYB11OcHLUo,Dt1XF1qdQEj,,1
afMU582wyjr,202405,KYB11OcHLUo,urBNBOj7wJ6,,2
afMU582wyjr,202405,KYB11OcHLUo,KXYtnasHRY1,,2
afMU582wyjr,202405,KYB11OcHLUo,DnVRKKNTMBf,,1
afMU582wyjr,202405,KYB11OcHLUo,VnG1bujYXFO,,1
afMU582wyjr,202405,KYB11OcHLUo,yWgePqkmmHt,,1
afMU582wyjr,202405,KYB11OcHLUo,d6H2uRuFu1t,,1
afMU582wyjr,202405,KYB11OcHLUo,DZdOUyhJ7jY,,1
afMU582wyjr,202405,KYB11OcHLUo,c6giVLetbtS,,1
p7EP9qMVwqg,202405,KYB11OcHLUo,Bkx1ls085wh,,14
p7EP9qMVwqg,202405,KYB11OcHLUo,bcE84lWmc6J,,2
p7EP9qMVwqg,202405,KYB11OcHLUo,d6H2uRuFu1t,,18
p7EP9qMVwqg,202405,KYB11OcHLUo,nAmNxGivtZp,,22
p7EP9qMVwqg,202405,KYB11OcHLUo,Dt1XF1qdQEj,,2
p7EP9qMVwqg,202405,KYB11OcHLUo,urBNBOj7wJ6,,9
p7EP9qMVwqg,202405,KYB11OcHLUo,c6giVLetbtS,,6
