dataElement,period,orgUnit,categoryOptionCombo,attributeOptionCombo,value
VcYITWFtRPl,202405,DAzDgWYcR87,WUOsioCfTH1,,5
VcYITWFtRPl,202405,DAzDgWYcR87,zRdpU5xlOQI,,2
VcYITWFtRPl,202405,DAzDgWYcR87,eVb1NqOEUoq,,2
VcYITWFtRPl,202405,DAzDgWYcR87,FsaFnYgYYiE,,2
VcYITWFtRPl,202405,DAzDgWYcR87,XqbMOMJhdoo,,3
VcYITWFtRPl,202405,DAzDgWYcR87,fu8H9OdUyZ6,,3
VcYITWFtRPl,202405,DAzDgWYcR87,GcAEOo6pgjG,,1
VcYITWFtRPl,202405,DAzDgWYcR87,tNnfZGycqoK,,2
YBdu7j2gGjC,202405,DAzDgWYcR87,ltwvGENFQ0F,,22
YBdu7j2gGjC,202405,DAzDgWYcR87,az6WUd9cNW8,,7
YBdu7j2gGjC,202405,DAzDgWYcR87,hyVPPHNEwLB,,32
YBdu7j2gGjC,202405,DAzDgWYcR87,c4FaWCHZi2O,,1
YBdu7j2gGjC,202405,DAzDgWYcR87,TU97qv4vJ5O,,27
YBdu7j2gGjC,202405,DAzDgWYcR87,ydvrOz9X2My,,14
YBdu7j2gGjC,202405,DAzDgWYcR87,prSfkXlKE2r,,3
YBdu7j2gGjC,202405,DAzDgWYcR87,QZCuRi4MOLN,,10
YBdu7j2gGjC,202405,DAzDgWYcR87,NHtO8EwLQ9l,,6
YBdu7j2gGjC,202405,DAzDgWYcR87,NFKXwU6Oeta,,4
YBdu7j2gGjC,202405,DAzDgWYcR87,X8pGUJitiVE,,1
YBdu7j2gGjC,202405,DAzDgWYcR87,yDfHPRaDxwe,,2
YBdu7j2gGjC,202405,DAzDgWYcR87,BoN2WhPnYl1,,1
YBdu7j2gGjC,202405,DAzDgWYcR87,KAyyHkzmuL1,,1
YBdu7j2gGjC,202405,DAzDgWYcR87,zrFplyGIhtL,,1
jHjC9XIJbhL,202405,DAzDgWYcR87,TU97qv4vJ5O,,74
jHjC9XIJbhL,202405,DAzDgWYcR87,ydvrOz9X2My,,30
jHjC9XIJbhL,202405,DAzDgWYcR87,ltwvGENFQ0F,,17
jHjC9XIJbhL,202405,DAzDgWYcR87,Z0jVIrTmC1P,,2
jHjC9XIJbhL,202405,DAzDgWYcR87,NFKXwU6Oeta,,6
jHjC9XIJbhL,202405,DAzDgWYcR87,hyVPPHNEwLB,,56
jHjC9XIJbhL,202405,DAzDgWYcR87,NHtO8EwLQ9l,,14
jHjC9XIJbhL,202405,DAzDgWYcR87,zrFplyGIhtL,,1
jHjC9XIJbhL,202405,DAzDgWYcR87,HYtbCWnAdG9,,1
jHjC9XIJbhL,202405,DAzDgWYcR87,f95YntMQY6i,,1
VcYITWFtRPl,202405,K4Rp81pn9ke,ClRyt3CO2CU,,2
VcYITWFtRPl,202405,K4Rp81pn9ke,wem5QqoRkkh,,1
VcYITWFtRPl,202405,K4Rp81pn9ke,IsuCX2xSvKQ,,2
VcYITWFtRPl,202405,K4Rp81pn9ke,GJBPjJZBrRn,,3
VcYITWFtRPl,202405,K4Rp81pn9ke,eVb1NqOEUoq,,1
VcYITWFtRPl,202405,K4Rp81pn9ke,zRdpU5xlOQI,,2
VcYITWFtRPl,202405,K4Rp81pn9ke,WUOsioCfTH1,,1
VcYITWFtRPl,202405,K4Rp81pn9ke,zDtqexNpaj8,,1
VcYITWFtRPl,202405,K4Rp81pn9ke,o3zyOwZyxi7,,1
YBdu7j2gGjC,202405,K4Rp81pn9ke,KAyyHkzmuL1,,2
YBdu7j2gGjC,202405,K4Rp81pn9ke,NlZJe4oDEFK,,3
YBdu7j2gGjC,202405,K4Rp81pn9ke,FmEMWg0TP1j,,2
YBdu7j2gGjC,202405,K4Rp81pn9ke,z6KOjZfpQcx,,1
YBdu7j2gGjC,202405,K4Rp81pn9ke,rZH5lIUD4nH,,1
YBdu7j2gGjC,202405,K4Rp81pn9ke,QZCuRi4MOLN,,4
YBdu7j2gGjC,202405,K4Rp81pn9ke,ydvrOz9X2My,,2
YBdu7j2gGjC,202405,K4Rp81pn9ke,f95YntMQY6i,,4
YBdu7j2gGjC,202405,K4Rp81pn9ke,fhtynTWtvqv,,1
YBdu7j2gGjC,202405,K4Rp81pn9ke,az6WUd9cNW8,,4
YBdu7j2gGjC,202405,K4Rp81pn9ke,zrFplyGIhtL,,2
YBdu7j2gGjC,202405,K4Rp81pn9ke,hyVPPHNEwLB,,6
YBdu7j2gGjC,202405,K4Rp81pn9ke,ldWyKRgvIyU,,3
YBdu7j2gGjC,202405,K4Rp81pn9ke,UQaQKObbrwj,,2
YBdu7j2gGjC,202405,K4Rp81pn9ke,pe07Wvr90Zc,,5
YBdu7j2gGjC,202405,K4Rp81pn9ke,NFKXwU6Oeta,,5
YBdu7j2gGjC,202405,K4Rp81pn9ke,TU97qv4vJ5O,,6
YBdu7j2gGjC,202405,K4Rp81pn9ke,HYtbCWnAdG9,,2
YBdu7j2gGjC,202405,K4Rp81pn9ke,c4FaWCHZi2O,,2
YBdu7j2gGjC,202405,K4Rp81pn9ke,X8pGUJitiVE,,4
YBdu7j2gGjC,202405,K4Rp81pn9ke,eSoHGswqAsd,,1
YBdu7j2gGjC,202405,K4Rp81pn9ke,T6zWRBnlJhR,,1
YBdu7j2gGjC,202405,K4Rp81pn9ke,VZNJvQNlECI,,4
YBdu7j2gGjC,202405,K4Rp81pn9ke,NHtO8EwLQ9l,,4
YBdu7j2gGjC,202405,K4Rp81pn9ke,Z0jVIrTmC1P,,1
YBdu7j2gGjC,202405,K4Rp81pn9ke,prSfkXlKE2r,,2
YBdu7j2gGjC,202405,K4Rp81pn9ke,Q27GSYLDkGk,,2
YBdu7j2gGjC,202405,K4Rp81pn9ke,Z2jmPAIHrel,,2
YBdu7j2gGjC,202405,K4Rp81pn9ke,yPnEtFpqtt5,,3
YBdu7j2gGjC,202405,K4Rp81pn9ke,BoN2WhPnYl1,,2
YBdu7j2gGjC,202405,K4Rp81pn9ke,yDfHPRaDxwe,,3
YBdu7j2gGjC,202405,K4Rp81pn9ke,X1ckVzLvwRB,,1
YBdu7j2gGjC,202405,K4Rp81pn9ke,NGYepD2stMO,,2
YBdu7j2gGjC,202405,K4Rp81pn9ke,PFWJho4V0Bq,,1
YBdu7j2gGjC,202405,K4Rp81pn9ke,RnaDS67VAvQ,,1
YBdu7j2gGjC,202405,K4Rp81pn9ke,KY39qXVMOj1,,1
jHjC9XIJbhL,202405,K4Rp81pn9ke,hyVPPHNEwLB,,36
jHjC9XIJbhL,202405,K4Rp81pn9ke,eSoHGswqAsd,,4
jHjC9XIJbhL,202405,K4Rp81pn9ke,c4FaWCHZi2O,,82
jHjC9XIJbhL,202405,K4Rp81pn9ke,Z0jVIrTmC1P,,4
jHjC9XIJbhL,202405,K4Rp81pn9ke,QZCuRi4MOLN,,13
jHjC9XIJbhL,202405,K4Rp81pn9ke,tDVcPbjxTPK,,5
jHjC9XIJbhL,202405,K4Rp81pn9ke,ltwvGENFQ0F,,6
jHjC9XIJbhL,202405,K4Rp81pn9ke,VZNJvQNlECI,,23
jHjC9XIJbhL,202405,K4Rp81pn9ke,UQaQKObbrwj,,41
jHjC9XIJbhL,202405,K4Rp81pn9ke,NFKXwU6Oeta,,5
